Book_Author,Book_Title,Book_Tag,Challenge
A.B. Rutledge,Miles Away From You,"LGBT, Young Adult, Contemporary, Romance, Queer, Travel, Fiction",1
A.J. Sass,Ana on the Edge,"Middle Grade, LGBT, Contemporary, Queer, Sports, Realistic Fiction, Fiction",1
A.M. Homes,Jack,"Fiction, Young Adult, LGBT, Banned Books, Coming of Age, Gay, Contemporary",1
A.N. Hodge,The History of Art: The Essential Guide to Painting Through the Ages,"Art, Art History, Nonfiction, History",1
A.R. Capetta,Echo After Echo,"LGBT, Mystery, Young Adult, Contemporary, Romance, Queer, Lesbian",1
A.R. Capetta,Once & Future,"Fantasy, Young Adult, Science Fiction, LGBT, Retellings, Queer, Fiction",1
A.R. Capetta,Sword in the Stars,"Fantasy, Young Adult, Science Fiction, LGBT, Queer, Retellings, Lesbian",1
A.R. Capetta,The Brilliant Death,"Fantasy, Young Adult, LGBT, Queer, Romance, Fiction, Young Adult Fantasy",1
A.R. Capetta,The Storm of Life,"Fantasy, Young Adult, LGBT, Queer, Romance, High Fantasy, Fiction",1
A.S. King,Ask the Passengers,"Young Adult, LGBT, Contemporary, Fiction, Romance, Realistic Fiction, Queer",1
A.S. King,Attack of the Black Rectangles,"Middle Grade, Realistic Fiction, Fiction, Young Adult, Audiobook, Contemporary, Family",1
A.S. King,Dig,"Young Adult, Contemporary, Magical Realism, Fiction, Fantasy, Audiobook, Teen",1
A.S. King,Everybody Sees the Ants,"Young Adult, Contemporary, Magical Realism, Fiction, Realistic Fiction, Fantasy, Teen",1
A.S. King,Please Ignore Vera Dietz,"Young Adult, Contemporary, Fiction, Realistic Fiction, Mystery, Teen, Coming of Age",1
Aaron Blabey,The Bad Guys In the One,"Graphic Novels, Childrens, Humorm Fiction, Juvenile, Fantasy, Chapter Books",1
Aaron Hartzler,Rapture Practice: A True Story About Growing Up Gay in an Evangelical Family,"Memoir, Nonfiction, LGBT, Religion, Biography, Queer, Coming of Age",1
Aaron Hartzler,What We Saw,"Young Adult, Contemporary, Mystery, Realistic Fiction, Fiction, Romance, Young Adult Contemporary",1
Abbi Glines,After the Game,"Romance, Young Adult, Contemporary, Sports, Sports Romance, High School, New Adult",1
Abbi Glines,Bad for You,"Romance, New Adult, Contemporary, Contemporary Romance, College, Young Adult, Music",1
Abbi Glines,Losing the Field,"Romance, Young Adult, Contemporary, Sports, Sports Romance, High School, Audiobook",1
Abbi Glines,Making a Play,"Romance, Young Adult, Sports, Sports Romance, Contemporary, High School, Contemporary Romance",1
Abbi Glines,Making a Play,"Romance, Young Adult, Sports, Sports Romance, Contemporary, High School, Audiobook",1
Abbi Glines,The Vincent Boys,"Romance, Young Adult, New Adult, Contemporary, Contemporary Romance, Chick Lit, High School",1
Abbi Glines,The Vincent Brothers,"Romance, New Adult, Young Adult, Contemporary, Contemporary Romance, Chick Lit, Highschool",1
Abbi Glines,Under the Lights,"Romance, Young Adult, Contemporary, Sports, Sports Romance, New Adult, High School",1
Abbi Glines,Until Friday Night,"Romance, Young Adult, Contemporary, Sports, Sports Romance, New Adult, High School",1
Abbi Glines,Until the End,"Romance, New Adult, Contemporary, Contemporary Romance, Young Adult, High School, Abuse",1
Abby Howard,The Last Halloween: Vol 1: Children,,1
Abdi Nazemian,Like a Love Story,"LGBT, Young Adult, Historical Fiction, Romance, Queer, Contemporary, Fiction",1
Abdi Nazemian,The Chandler Legacies,"Young Adult, Contemporary, LGBT, Romance, Queer, Fiction, Mystery",1
Abena Walker,Beyond Theory: A Blueprint to Implement African-Centered Education,,1
Abena Walker,Our Favorite African Adrinkra Symbols: A Coloring Book,,1
Abigail Tarttelin,"Golden Boy: A Compelling, Brave Novel About Coming to Terms with Being Intersex","Fiction, Young Adult, LGBT, Contemporary, Queer, Coming of Age, Adult",1
Adam Cohen,"Imbeciles: The Supreme Court, American Eugenics, and the Sterilization of Carrie Black","History, Nonfiction, Politics, Law, American History, Science, Eugenics",1
Adam Eli,The New Queer Conscience,"Nonfiction, LGBT, Queer, Essays, Audiobook, Memoir, Social Justice",1
Adam Garnet Jones,Fire Song,"Young Adult, LGBT, Contemporary, Fiction, Queer, Teen, Canada",1
Adam Rapp,33 Snowfish,"Young Adult, Fiction, Realistic Fiction, Teen, Banned Books, Contemporary, Death",1
Adam Selzer,Just Kill Me,"Young Adult, LGBT, Humor, Mystery, Contemporary, Ghosts, Fiction",1
Adam Silvera,History is All You Left Me,"Young Adult, Contemporary, LGBT, Romance, Fiction, Queer, Mental Health",1
Adam Silvera,Infinity Reaper,"Fantasy, Young Adult, LGBT, Queer, Urban Fantasy, Fiction, Young Adult, Fantasy",1
Adam Silvera,Infinity Son,"Fantasy, Young Adult, LGBT, Queer, Fiction, Urban Fantasy, Young Adult, Fantasy",1
Adam Silvera,More Happy Than Not,"Young Adult, LGBT, Contemporary, Fiction, Romance, Queer, Science Fiction",1
Adam Silvera,They Both Die at the End,"Young Adult, Romance, LGBT, Contemporary, Fiction, Queer, Audiobook",1
Adam Silvera,They Both Die at the End,"Young Adult, Romance, LGBT, Contemporary, Fiction, Queer, Audiobook",1
Aden Polydoros,The City Beautiful,"Fantasy, Historical Fiction, Young Adult, LGBT, Historical, Queer, Mystery",1
Adib Khorram,Darius the Great Deserves Better,"Young Adult, LGBT, Contemporary, Fiction, Queer, Romance, Mental Health",1
Adib Khorram,Darius the Great Is Not Okay,"Young Adult, Contemporary, LGBT, Fiction, Mental Health, Queer, Realistic",1
Adiba Jaigirdar,Hani and Ishu's Guide to Fake Dating,"Romance, LGBT, Young Adult, Contemporary, Lesbian, Queer, Fiction",1
Adiba Jaigirdar,The Henna Wars,"Romance, LGBT, Young Adult, Contemporary, Lesbian, Queer, Fiction",1
Adrienne Maria Vrettos,Skin,"Young Adult, Mental Health, Fiction, Realistic Fiction, Mental Illness, Contemporary, Teen",1
Adrienne Young,Fable,"Fantasy, Young Adult, Romance, Pirates, Young Adult Fantasy, Fiction, Adventure",1
Agnes Borinsky,Sasha Masha,"Young Adult, LGBT, Contemporary, Queer, Audiobook, Fiction, Romance",1
Ahn Do,WeirDo,,1
Aida Salazar,The Moon Within,"Middle Grade, Poetry, LGBT, Realistic Fiction, Queer, Contemporary",1
Aiden Thomas,Cemetery Boys,"Fantasy, LGBT, Young Adult, Romance, Queer, Fiction, Paranormal",1
Ailsa Wild,The Invisible War: A Tale on Two Scales,"Graphic Novels, Science, War, Nonfiction, History, Comics, Historical",1
Airlie Anderson,Neither,"Picture Books, LGBT, Childrens, Storytime, Fiction, Animals, Queer",1
Aisha Saeed,Amal Unbound,"Middle Grade, Realistic Fiction, Young Adult, Fiction, Contemporary, Audiobook, Family",1
Aisha Saeed,Bilal Cooks Daal,"Picture Books, Food, Childrens, Cooking, Cultural, Family, Fiction",1
Akemi Dawn Bowman,Summer Bird Blue,"Contemporary, Young Adult, LGBT, Fiction, Mental Health, Queer, Young Adult Contemporary",1
Akiba Solomon,How We Fight White Supremacy,"Nonfiction, Race, Social Justice, Anti Racist,Politics, Essays,",1
Akwaeke Emezi,Pet,"Fantasy, Young Adult, LGBT, Fiction, Queer, Magical Realism, Middle Grade",1
Al Desetta,"The Courage to be Yourself : True Stories by Teens About Cliques, Conflicts, and Overcoming Peer Pressure",Nonfiction,1
Alan Gratz,Ground Zero,"Historical Fiction, Middle Grade, Young Adult, Fiction, Historical, War, Realistic Fiction",1
Alan Gratz,Ground Zero,"Historical Fiction, Middle Grade, Young Adult, Fiction, Historical, War, Realistic Fiction",1
Alan Gratz,Refugee,"Historical Fiction, Young Adult, Middle Grade, Fiction, Realistic Fiction, Historical, War",1
Alan Moore,Alan Moore's America's Best Comics,"Comics, Graphic Novels, Graphic Novels Comics, Fiction",1
Alan Moore,Batman Noir: The Killing Joke,"Comics, Graphic Novels, Batman, Fiction, Graphic Novels, Comics, DC Comics, Comic Book",1
Alan Moore,V for Vendetta,"Comics, Bande Dessinee",1
Alan Moore,Watchmen,"Comics, Graphic Novels, Fiction, Fantasy, Graphic Novels Comics, Science Fiction, Comic Books",1
Albert Borris,Crash Into Me,"Young Adult, Realistic Fiction, Romance, Road Trip, Contemporary, Teen, Mental Illness",1
Albert Camus,The Stranger,"Graphic Novels, Fiction, Comics, Classics, France, Bande Dessinee, Philosophy",1
Aldous Huxley,Brave New World,"Classics, Fiction, Science Fiction, Dystopia, Literature, Novels, School",1
Aldous Huxley,Brave New World: A Graphic Novel,"Graphic Novels, Science Fiction, Classics, Dystopia, Comics, Fiction, Adult",1
Alecos Papadatos,Democracy,"Graphic Novels, Comics, History, Politics, Nonfiction, Philosophy, Bande Dessinee",1
Alex Bell,The Polar Bear Explorers' Club,"Middle Grade, Fantasy, Adventure, Childrens, Fiction, Magic, Audiobook",1
Alex Bertie,Trans Mission: My Quest to a Beard,"Nonfiction, LGBT, Memoir, Queer, Transgender, Biography, Gender",1
Alex Bradley,24 Girls in 7 Days,"Young Adult, Romance, Contemporary, Realistic Fiction, Teen, Humor, Chick Lit",1
Alex Gino,Alice Austen Lived Here,"Middle Grade, LGBT, Queer, Fiction, Contemporary, Realistic Fiction, Young Adult",1
Alex Gino,Melissa (George),"LGBT, Middle Grade, Fiction, Contemporary, Realistic Fiction, Young Adult, Queer",1
Alex Gino,Rick,"Middle Grade, LGBT, Contemporary, Queer, Audiobook, Fiction, Realistic Fiction",1
Alex London,Black Wings Beating,"Fantasy, Young Adult, LGBT, Queer, Fiction, Young Adult Fantasy, High Fantasy",1
Alex London,Gold Wings Rising,"Fantasy, Young Adult, LGBT, Queer, Fiction, Young Adult Fantasy, High Fantasy",1
Alex London,Guardian,"Young Adult, LGBT, Dystopia, Science Fiction, Fiction, Queer, Romance",1
Alex London,Proxy,"Young Adult, LGBT, Dystopia, Science Fiction, Queer, Fantasy",1
Alex London,Proxy,"Young Adult, LGBT, Dystopia, Science Fiction, Queer, Fantasy",1
Alex Sanchez,Bait,"Young Adult, LGBT, Contemporary, Fiction, Abuse, Realistic Fiction, Teen",1
Alex Sanchez,Boyfriends with Girlfriends,"LGBT, Young Adult, Romance, Queer, Contemporary, Fiction, Realistic Fiction",1
Alex Sanchez,Getting it,"Young Adult, LGBT, Fiction, Gay, Contemporary, Realistic Fiction, Teen",1
Alex Sanchez,Rainbow Boys,"Young Adult, LGBT, Fiction, Romance, Gay, Queer, Realistic Fiction",1
Alex Sanchez,Rainbow High,"Young Adult, LGBT, Gay, Romance, Fiction, Queer, Realistic Fiction",1
Alex Sanchez,Rainbow Road,"Young Adult, LGBT, Gay, Romance, Fiction, Queer, M M Romance",1
Alex Sanchez,So Hard to Say,"Young Adult, LGBT, Romance, Fiction, Queer, Gay, Contemporary",1
Alex Sanchez,You Brought Me the Ocean,"Graphic Novels, LGBT, Young Adult, Comics, Romance, Fantasy, Queer",1
Alexandra Overy,These Feathered Flames,"Fantasy, Young Adult, Lesbian, Retellings, Queer, Young Adult, Fantasy",1
Alexandra Penfold,All are Welcome,"Picture Books, Childrens, School, Cultural, Storytime, Realistic Fiction, Back to School",1
Alexandra Styron,"Steal This Country: A Handbook for Resistance, Persistence, and Fixing Almost Everything","Nonfiction, Social Justice, Politics, Activism, Reference",1
Alexandra Villasante,The Grief Keeper,"Young Adult, LGBT, Contemporary, Fiction, Queer, Lesbian, Romance",1
Alexis Hall,Boyfriend Material,"Romance, LGBT, Contemporary, Queer, Fiction, Audiobook, M M Romance",1
Alfred Stieglitz,Stiegliz on Photography: His Selected Essays and Notes,Photography,1
Ali Bryan,The Hill,"Young Adult, Dystopia, Science Fiction, Teen, Fiction",1
Aliah Shawkat,"Nevertheless We Persisted: 48 Voices of Defiance, Strength, and Courage","Nonfiction, Feminism, Essays, Short Stories, Anthologies, Memoir, Politics",1
Alice Faye Duncan,"Memphis, Martin, and the Mountaintop: The Sanitation Strike of 1968","Picture Books, History, Nonfiction, African American, Poetry, Childrens, Historical",1
Alice Oseman,"Heartstopper, Vol. 1","Graphic Novels, Romance, LGBT, Young Adult, Contemporary, Queer, Comics",1
Alice Oseman,"Heartstopper, Vol. 2","Graphic Novels, Romance, LGBT, Young Adult, Contemporary, Queer, Comics",1
Alice Oseman,"Heartstopper, Vol. 2","Graphic Novels, Romance, LGBT, Young Adult, Contemporary, Queer, Comics",1
Alice Oseman,"Heartstopper, Vol. 3","Graphic Novels, Romance, LGBT, Young Adult, Contemporary, Queer, Comics",1
Alice Sebold,The Lovely Bones,"Fiction, Mystery, Young Adult, Contemporary, Fantasy, Crime, Thriller",1
Alice Sebold,Lucky,"Nonfiction, Memoir, Biography, True Crime, Biography Memoir, Autobiography, Adult",1
Alice Walker,The Color Purple,"Classics, Fiction, Historical Fiction, Feminism, LGBT, Historical, African American",1
Alicia D. Williams,Genesis Begins Again,"Middle Grade, Realistic Fiction, Young Adult, Fiction, Contemporary, African American, Family",1
Alicia Jasinska,The Dark Tide,"Fantasy, LGBT, Lesbian, Young Adult, Romance, Queer, Young Adult Fantasy",1
Aliki,Feelings,"Picture Books, Childrens, Parenting, Emotion, School, Fiction, Psychology",1
Alison Bechdel,Are You My Mother?: A Comic Drama,"Graphic Novels, Memoir, Comics, Nonfiction, Queer, LGBT, Biography",1
Alison Bechdel,FUN HOME: A Family Tragicomic,"Graphic Novels, Memoir, Comics, Nonfiction, LGBT, Queer, Biography",1
Aliza Layne,Beetle & the Hollowbones,"Graphic Novels, Fantasy, Middle Grade, LGBT, Comics, Magic, Young Adult",1
Allison Lassieur,25 Women Who Dared to Go,,1
