Author,Book,Series Name (If Title is Part of a Series),Secondary Author(s),Illustrators,Translators,Type of Challenge,Challenge Initiated By,Initial Response,Challenge Notes,Decision,Are Restrictions Applied,Restriction Details,Library Type,Month,Year,State,School District,City,County,School Name,Library Name,Police Involved,Current Book Status,Date of Data Input,Article Links/Evidence Links,Article Links/Evidence Links,Article Links/Evidence Links,Article Links/Evidence Links,,,,,,,,,,,,,,,,,,,
"Taylor, Will",A Language of Seabirds,,,,,Formal Challenge,Community Member,Challenged - On Shelves,"News reporting from a breitbart oriented website - and makes connection between ""Rainbow"" ALA group and the lists. They've made a list and filed formal complaints for at least 80 titles. Suggests making an LGBTQ section of the library like Toddler and YA. ",Unknown,,,Public,April,2023,Alabama,,Prattville,,,Prattville Library,,On Shelves,4/24/23,https://1819news.com/news/item/prattville-mothers-attempting-to-address-bevy-of-lgbtq-books-in-childrens-section-of-local-library,,,,,,,,,,,,,,,,,,,,,,
"Gino, Alex",Alice Austen Lived Here,,,,,Formal Challenge,Community Member,Challenged - On Shelves,"News reporting from a breitbart oriented website - and makes connection between ""Rainbow"" ALA group and the lists. They've made a list and filed formal complaints for at least 80 titles. Suggests making an LGBTQ section of the library like Toddler and YA. ",Unknown,,,Public,April,2023,Alabama,,Prattville,,,Prattville Library,,On Shelves,4/24/23,https://1819news.com/news/item/prattville-mothers-attempting-to-address-bevy-of-lgbtq-books-in-childrens-section-of-local-library,,,,,,,,,,,,,,,,,,,,,,
"Madison, Megan",Being You: A First Conversation About Gender,,"Ralli, Jessica","Passchier, Andy/Anne",,Formal Challenge,Community Member,Challenged - On Shelves,"News reporting from a breitbart oriented website - and makes connection between ""Rainbow"" ALA group and the lists. They've made a list and filed formal complaints for at least 80 titles. Suggests making an LGBTQ section of the library like Toddler and YA. ",Unknown,,,Public,April,2023,Alabama,,Prattville,,,Prattville Library,,On Shelves,4/24/23,https://1819news.com/news/item/prattville-mothers-attempting-to-address-bevy-of-lgbtq-books-in-childrens-section-of-local-library,,,,,,,,,,,,,,,,,,,,,,
"Ford, J.R.",Calvin,,"Ford, Vanessa","Harren, Kayla",,Formal Challenge,Community Member,Challenged - On Shelves,"News reporting from a breitbart oriented website - and makes connection between ""Rainbow"" ALA group and the lists. They've made a list and filed formal complaints for at least 80 titles. Suggests making an LGBTQ section of the library like Toddler and YA. ",Unknown,,,Public,April,2023,Alabama,,Prattville,,,Prattville Library,,On Shelves,4/24/23,https://1819news.com/news/item/prattville-mothers-attempting-to-address-bevy-of-lgbtq-books-in-childrens-section-of-local-library,,,,,,,,,,,,,,,,,,,,,,
"Bury, Katryn",Drew LeClair Gets a Clue,,,,,Formal Challenge,Community Member,Challenged - On Shelves,"News reporting from a breitbart oriented website - and makes connection between ""Rainbow"" ALA group and the lists. They've made a list and filed formal complaints for at least 80 titles. Suggests making an LGBTQ section of the library like Toddler and YA. ",Unknown,,,Public,April,2023,Alabama,,Prattville,,,Prattville Library,,On Shelves,4/24/23,https://1819news.com/news/item/prattville-mothers-attempting-to-address-bevy-of-lgbtq-books-in-childrens-section-of-local-library,,,,,,,,,,,,,,,,,,,,,,
"Grimm, Gavin",If You're A Kid Like Gavin: The True Story of a Young Trans Activist,,"Lukoff, Kyle","Yang, J.",,Formal Challenge,Community Member,Challenged - On Shelves,"News reporting from a breitbart oriented website - and makes connection between ""Rainbow"" ALA group and the lists. They've made a list and filed formal complaints for at least 80 titles. Suggests making an LGBTQ section of the library like Toddler and YA. ",Unknown,,,Public,April,2023,Alabama,,Prattville,,,Prattville Library,,On Shelves,4/24/23,https://1819news.com/news/item/prattville-mothers-attempting-to-address-bevy-of-lgbtq-books-in-childrens-section-of-local-library,,,,,,,,,,,,,,,,,,,,,,
"Callender, Kacen",Moonflower,,,,,Formal Challenge,Community Member,Challenged - On Shelves,"News reporting from a breitbart oriented website - and makes connection between ""Rainbow"" ALA group and the lists. They've made a list and filed formal complaints for at least 80 titles. Suggests making an LGBTQ section of the library like Toddler and YA. ",Unknown,,,Public,April,2023,Alabama,,Prattville,,,Prattville Library,,On Shelves,4/24/23,https://1819news.com/news/item/prattville-mothers-attempting-to-address-bevy-of-lgbtq-books-in-childrens-section-of-local-library,,,,,,,,,,,,,,,,,,,,,,
"Ayala-Kronos, Chris",The Pronoun Book,,,"Tirado, Melita",,Formal Challenge,Community Member,Challenged - On Shelves,"News reporting from a breitbart oriented website - and makes connection between ""Rainbow"" ALA group and the lists. They've made a list and filed formal complaints for at least 80 titles. Suggests making an LGBTQ section of the library like Toddler and YA. ",Unknown,,,Public,April,2023,Alabama,,Prattville,,,Prattville Library,,On Shelves,4/24/23,https://1819news.com/news/item/prattville-mothers-attempting-to-address-bevy-of-lgbtq-books-in-childrens-section-of-local-library,,,,,,,,,,,,,,,,,,,,,,
"Madison, Megan",Yes! No! A First Conversation About Consent,,"Ralli, Jessica","Roxas, Isabel",,Formal Challenge,Community Member,Challenged - On Shelves,"News reporting from a breitbart oriented website - and makes connection between ""Rainbow"" ALA group and the lists. They've made a list and filed formal complaints for at least 80 titles. Suggests making an LGBTQ section of the library like Toddler and YA. ",Unknown,,,Public,April,2023,Alabama,,Prattville,,,Prattville Library,,On Shelves,4/24/23,https://1819news.com/news/item/prattville-mothers-attempting-to-address-bevy-of-lgbtq-books-in-childrens-section-of-local-library,,,,,,,,,,,,,,,,,,,,,,
"Lukens, F.T.",In Deeper Waters,,,,,Informal Challenge,Parent,N/A - See Notes,Protested at a board meeting. the books were part of an optional book fair held in the middle school.,N/A,,,School ,April,2022,Alaska,Matanuska Susitna Borough School District (MSBSD)/Mat Su Borough Assembly,,,Teeland Middle School,,,,4/16/23,https://www.frontiersman.com/news/people-voice-concerns-over-tms-book-fair-during-msbsd-msb-assembly-meeting/article_4cc30be4-cf64-11ed-932a-3725c6219e9a.html,https://bookriot.com/mat-su-book-censorship/,,,,,,,,,,,,,,,,,,,,,
