Book_Author,Book_Title,Series_Name,Book_Co_Author,Illustrators,Translators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,State,Sch_Dist,City,County,Sch_Name,Lib_Name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4
"Kerr, M. E.","""Hello,"" I lied : a novel",,,,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Thomas, Rachel L.",#BlackLivesMatter : Protesting Racism,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,RETURNED - FL as 5/2022,,,,,
"Thomas, Rachel L.",#BlackLivesMatter : Protesting Racism,,,,,Unclear,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,Removed from shelves for review on basis of Rep Krause letter,,,,,
"Ukazu, Ngozi",#Hockey,"Check, Please! Series",,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School ,,,Tennessee,Collierville Schools,,,,,Unknown,,,,,,
"McNeil, Gretchen",#MurderTrending,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Georgia,Savannah-Chatham County Public School SYstem,,,,,Unknown,,,,,,
"McNeil, Gretchen",#MurderTrending,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Kansas,Goddard,,,,,Unknown,,,,,,
"Mac, Carrie",10 Things I Can See from Here,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Mac, Carrie",10 Things I Can See from Here,,,,,Unclear,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,Removed from shelves for review on basis of Rep Krause letter,,,,,
"Henderson, Elisabeth","100 Questions You'd Never Ask Your Parents: Straight Answers to a Teens' Questions About Sex, Sexuality, and Health",,,,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,removed while under investigation.,Unknown,,,School ,,,Texas,Klein ISD,,,,,Unknown,,,,,,
"Brynie, Faith Hickman",101 questions about reproduction : or how 1 + 1 = 3 or 4 or more-- ,,,,,Unclear,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,Removed from shelves for review on basis of Rep Krause letter,,,,,
"Brynie, Faith Hickman",101 questions about reproduction : or how 1 + 1 = 3 or 4 or more-- ,,,,,Unclear,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,Removed from shelves for review on basis of Rep Krause letter,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,January,2022,New York,Auburn Enlarged City School District,,,,,Unknown,,,,,,
"Reynolds, Jason",All American Boys,,"Kiely, Brendan",,,Targeted During Board Meeting,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,January,2022,New York,Baldwinsville Central School District,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Targeted During Board Meeting,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,January,2022,New York,Baldwinsville Central School District,,,,,Unknown,,,,,,
"Atwood, Margaret",The Handmaid's Tale,,,,,Targeted During Board Meeting,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,January,2022,New York,Baldwinsville Central School District,,,,,Unknown,,,,,,
"Levithan, David",19 Love Songs,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Levithan, David",19 Love Songs,,,,,Unclear,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Texas,Prosper ISD,,,,,Unknown,,,,,,
"Rapp, Adam",33 Snowfish,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,"committee recommended further review, not immediate censorship",Banned,,,School ,,,Idaho,Nampa School District,,,,,Unknown,,,,,,
"Rapp, Adam",33 Snowfish,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,,Retained Restricted,Yes,pulled from shelves per M4L,School ,,,Michigan,Gladwin Community Schools,,,,,Unknown,,,,,,
"Rapp, Adam",33 Snowfish,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,11/2021 sent note to school?,Retained Restricted,Yes,"School wanted individual complaints per book - no response from parent, online ""outrage""",School ,,,Utah,Murray City School District,,,,,Unknown,,,,,,
"Rapp, Adam",33 Snowfish,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,unconstitutional order to remove book,Unknown,,,School ,,,Virginia,Spotslyvania County,,,,,Unknown,,,,,,
