Book_title,Book_Author,Book_Tag,Challenged
Divergent,Veronica Roth,"Young Adult, Dystopia, Fantasy, Ficiton, Science Fiction, Romance, Adventure",0
Harry Potter and the Deathly Hallows,J.K. Rowling,"Fantasy, Young Adult, Fiction, Magic, Childrens, Adventure",0
Harry Potter and the Goblet of Fire,J.K. Rowling,"Fantasy, Young Adult, Fiction, Magic, Childrens, Adventure",0
"Hush, Hush ",Becca Fitzpatrick,"Young Adult, Fantasy, Romance, Paranormal, Angels, Paranormal Romance, Fiction",0
Harry Potter and the Half-Blood Prince,J.K. Rowling,"Fantasy, Young Adult, Fiction, Magic, Childrens, Adventure, Audiobook",0
Harry Potter and the Order of the Phoenix,J.K. Rowling,"Fantasy Young, Adult Fiction, Magic, Childrens, Audiobook, Adventure",0
Twilight,Stephenie Meyer,"Fantasy, Young Adult, Romance, Fiction, Vampires, Paranormal, Paranormal Romance",0
The Host,Stephenie Meyer,"Young Adult, Science Fiction, Fantasy, Romance, Fiction, Dystopia, Paranormal",0
Breaking Dawn,Stephenie Meyer,"Fantasy, Young Adult, Romance, Vampires, Fiction, Paranormal, Paranormal Romance",0
Fallen,Lauren Kate,"Young Adult, Fantasy, Romance, Paranormal, Angels, Paranormal RomanceFiction",0
Pride and Prejudice,Jane Austen,"Classics, Fiction, Romance, Historical Fiction, Literature, Historical, Audiobook",0
Crescendo,Becca Fitzpatrick,"Young Adult, Fantasy, Angels, Romance, Paranormal, Paranormal Romance, Supernatural",0
The Book Thief,Markus Zusak,"Historical Fiction, Fiction, Young Adult, Historical, Classics, WarWorld War II",0
New Moon,Stephenie Meyer,"Fantasy, Young Adult, Romance, Vampires, Fiction, Paranormal, Paranormal Romance",0
The Summoning,Kelley Armstrong,"Young Adult, Fantasy, Paranormal, Urban Fantasy, Supernatural, Romance, Magic",0
Insurgent,Veronica Roth,"Young Adult,Dystopia, Fiction, Fantasy, Science Fiction, Romance, Adventure",0
Harry Potter and the Sorcerer's Stone,J.K. Rowling,"Fantasy, Fiction, Young Adult, Magic, Childrens, Middle Grade, Classics",0
Unearthly,Cynthia Hand,"Young Adult, Fantasy, Angels, Paranormal, Romance, Paranormal Romance, Urban Fantasy",0
Torment,Lauren Kate,"Young Adult, Fantasy, Angels, Romance, Paranormal, Paranormal Romance, Supernatural",0
Across the Universe,Beth Revis,"Young Adult, Science Fiction, Dystopia, Romance, Fantasy, Fiction, Mystery",0
Evermore,Alyson Noel,"Young Adult, Fantasy, Paranormal, Romance, Paranormal Romance, Supernatural, Fiction",0
Silence,Becca Fitzpatrick,"Fantasy, Young Adult, Angels, Romance, Paranormal, Paranormal Romance, Supernatural",0
Under the Never Sky,Veronica Rossi,"Young Adult, Dystopia, Romance, Fantasy, Science Fiction, Fiction, Post Apocalyptic",0
Halo,Alexandra Adornetto,"Young Adult, Angels, Fantasy, Romance,  Paranormal, Paranormal Romance, Supernatural",0
Firelight,Sophie Jordan,"Fantasy, Young Adult, Dragons, Romance, Paranormal, Paranormal Romance, Urban Fantasy",0
Paranormalcy,Kiersten White,"Young Adult, Paranormal, Fantasy, Romance, Vampires, Urban Fantasy, Supernatural",0
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,"Fantasy, Fiction, Young Adult, Magic, Childrens, Middle Grade, Audiobook",0
Blue Bloods,Melissa de la Cruz,"Young Adult, Vampires, Fantasy, Paranormal, Romance, Supernatural, Fiction",0
Eragon,Christopher Paolini,"Fantasy, Young Adult, Fiction, Dragons, Adventure, Magic, High Fantasy",0
Wings,Aprilynne Pike,"Fantasy, Young Adult, Romance, Paranormal, Fairies, Fae, Fiction",0
Nightshade,Andrea Cremer,"Young Adult, Fantasy, Paranormal, Werewolves, Romance, Paranormal Romance, Supernatural",0
The Sisterhood of the Traveling Pants,Ann Brashares,"Young Adult, Fiction, Chick Lit, Contemporary, Romance, Teen, Realistic Fiction",0
Harry Potter and the Chamber of Secrets,J.K. Rowling,"Fantasy, Fiction, Young Adult, Magic, Childrens, Middle Grade, Audiobook",0
Cinder,Marissa Meyer,"Fantasy, Young Adult, Science Fiction, Romance, Dystopia, Retellings, Fiction",0
Starcrossed,Josephine Angelini,"Fantasy, Young Adult, Mythology, Romance, Paranormal, Greek Mythology, Paranormal Romance",0
Midnight Sun,Stephenie Meyer,"Fantasy, Romance, Young Adult, Vampires, Fiction, Paranormal, Audiobook",0
Wicked Lovely,Melissa Marr,"Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Fae, Fairies",0
Lock and Key,Sarah Dessen,"Young Adult, Romance, Contemporary, Fiction, Realistic Fiction, Chick Lit, Teen",0
Little Women,Louisa May Alcott,"Classics, Fiction, Historical Fiction, Young Adult, Romance, Historical, Literature",0
The Short Second Life of Bree Tanner,Stephenie Meyer,"Young Adult, Fantasy, Vampires, Paranormal, Fiction, Romance, Supernatural",0
Strange Angels,Lili St. Crow,"Young Adult, Paranormal, Vampires, Fantasy, Urban Fantasy, Werewolves, Supernatural",0
Revelations,Melissa de la Cruz,"Young Adult, Vampires, Fantasy, Paranormal, Romance, Angels, Fiction",0
Passion,Lauren Kate,"Young Adult, Fantasy, Angels, Paranormal, Paranormal Romance, Supernatural, Fiction",0
Angelfire,Courtney Allison Moulton,"Young Adult, Angels, Fantasy, Paranormal, Romance, Paranormal Romance, Urban Fantasy",0
Masquerade,Melissa de la Cruz,"Young Adult, Vampires, Fantasy, Paranormal, Romance, Supernatural, Angels",0
Artemis Fowl,Eoin Colfer,"Fantasy, Young Adult, Fiction, Middle Grade, Childrens, Science Fiction, Adventure",0
Supernaturally,Kiersten White,"Young Adult, Paranormal, Fantasy, Vampires, Romance, Urban Fantasy, Supernatural",0
Shadowland,Alyson Noel,"Young Adult, Fantasy, Paranormal Romance, Paranormal Romance, Supernatural, Fiction",0
Blue Moon,Alyson Noel,"Young Adult, Fantasy,  Paranormal, Romance, Paranormal Romance, Supernatural, Fiction",0
Forever in Blue: The Fourth Summer of the Sisterhood,Ann Brashares,"Young Adult, Fiction, Chick Lit, Contemporary, Romance, Teen, Realistic Fiction",0
The Second Summer of the Sisterhood,Ann Brashares,"Young Adult, Fiction, Chick Lit, Contemporary, Romance, Teen, Realistic Fiction",0
The Catcher in the Rye,J.D. Salinger,"Classics, Fiction, Young Adult, Literature, School, Novels, Coming Of Age ",0
The Gathering,Kelley Armstrong,"Young Adult, Fantasy, Paranormal, Urban Fantasy, Romance, Supernatural, Fiction",0
Girls in Pants: The Third Summer of the Sisterhood,Ann Brashares,"Young Adult, Fiction, Chick Lit, Contemporary, Romance, Teen, Realistic Fiction",0
Need,Carrie Jones,"Young Adult, Fantasy, Paranormal, Romance, Fae, Werewolves, Paranormal Romance",0
Anne of Green Gables,L.M. Montgomery,"Classics, Fiction, Young Adult, Historical Fiction, Childrens, Middle Grade, Audiobook",0
Dark Flame,Alyson Noel,"Young Adult, Fantasy, Paranormal, Romance, Fiction, Supernatural, Paranormal Romance",0
"Are You There God? It's Me, Margaret",Judy Blume,"Young Adult, Fiction, Childrens, Classics, Middle Grade, Coming Of Age, Realistic Fiction",0
Night Star,Alyson Noel,"Young Adult, Fantasy, Paranormal, Romance, Fiction, Supernatural, Paranormal Romance",0
Evernight,Claudia Gray,"Young Adult, Vampires, Fantasy, Paranormal, Romance, Paranormal Romance, Supernatural",0
New England Witch Chronicles,Chelsea Luna,"Witches, Young Adult, Fantasy, Paranormal, Magic, Urban Fantasy, Supernatural",0
"The Lion, the Witch and the Wardrobe ",C.S. Lewis,"Fantasy, Classics, Fiction, Young Adult, Childrens, Middle Grade, Adventure",0
Half-Blood,Jennifer L. Armentrout,"Fantasy, Young Adult, Paranormal, Romance, Mythology, Paranormal Romance, Urban Fantasy",0
Angelfall,Susan Ee,"Fantasy, Young Adult, Angels, Dystopia, Paranormal, Romance, Urban Fantasy",0
When Stars Die,Amber Forbes,"Young Adult, Fantasy, Romance, Paranormal, Magic, Supernatural",0
Jerkbait,Mia Siegert,"LGBT, Young Adult, Contemporary, Sports, Fiction, Queer, Mental Illness",0
Alanna: The First Adventure,Tamora Pierce,"Fantasy Young Adult, Fiction, Magic, Adventure, Young Adult Fantasy, Middle Grade",0
Wicked Betrayal,Chelsea Luna,"Young Adult, Fantasy, Witches, Paranormal, Romance, Magic, Paranormal Romance",0
Along for the Ride,Sarah Dessen,"Young Adult, Romance, Contemporary, Fiction, Chick Lit, Realistic Fiction, Teen",0
The Raven Boys,Maggie Stiefvater,"Fantasy, Young Adult, Paranormal, Romance, Fiction, Urban Fantasy, Magic",0
Anna and the French Kiss,Stephanie Perkins,"Romance, Young Adult, Contemporary, Fiction, Chick Lit, Realistic Fiction, Contemporary Romance",0
The Selection,Kiera Cass,"Romance, Young Adult, Dystopia, Fantasy, Fiction, Science Fiction, Audiobook",0
Beautiful Disaster,Jamie McGuire,"Romance, New Adult, Contemporary, Young Adult, Contemporary Romance, College, Fiction",0
The Last Battle,C.S. Lewis,"Fantasy, Fiction, Classics, Young Adult, Childrens, Christian, Adventure",0
Hex Hall,Rachel Hawkins,"Young Adult, Fantasy, Paranormal, Magic, Romance, Vampires, Witches",0
School Monitor,Alex Dunn,"Young Adult, Mystery, Contemporary, Thriller, Suspense",0
The Lightning Thief,Rick Riordan,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology",0
Fateful,Claudia Gray,"Young Adult, Paranormal, Historical Fiction, Romance, Fantasy, Werewolves, Historical",0
Stargirl,Jerry Spinelli,"Young Adult, Fiction, Contemporary, Realistic Fiction, Romance, Middle Grade, Childrens",0
The Van Alen Legacy,Melissa de la Cruz,"Young Adult, Vampires, Fantasy, Paranormal, Romance, Angels, Supernatural",0
The Silver Chair,C.S. Lewis,"Fantasy, Fiction, Classics, Young Adult, Childrens, Christian, Adventure",0
The False Princess,Eilis O'Neal,"Fantasy, Young Adult,  Middle Grade, Adventure, Fiction, Young Adult Fantasy, Mystery",0
Hourglass,Claudia Gray,"Young Adult, Vampires, Paranormal, Fantasy, Romance, Paranormal Romance, Supernatural",0
Steelheart,Brandon Sanderson,"Fantasy, Young Adult, Science Fiction, Dystopia, Fiction, Urban Fantasy, Superheroes",0
